id;is_active;notify_user;promo_code;promo_code_url;commission_percentage;commission_date;created_date;updated_date
1;true;false;panel Legacy Peso Uruguayo Uruguay Peso en Unidades Indexadas;compressing;26482;2020-06-16;2020-06-15;2020-06-16
2;false;true;Indiana Unbranded Cotton Shoes;EXE Practical Rubber Mouse intranet;21725;2020-06-15;2020-06-15;2020-06-16
3;true;false;Infrastructure;Tasty extend intangible;21913;2020-06-15;2020-06-15;2020-06-15
4;false;true;azure Forward;Credit Card Account;54732;2020-06-15;2020-06-15;2020-06-15
5;true;false;Frozen CSS;payment Checking Account indexing;86752;2020-06-15;2020-06-15;2020-06-15
6;true;true;Cheese Corners;backing up;12680;2020-06-15;2020-06-15;2020-06-16
7;false;true;bypassing Markets Peru;Savings Account Principal;3304;2020-06-15;2020-06-16;2020-06-15
8;false;true;disintermediate collaborative;Dynamic productize;59765;2020-06-15;2020-06-15;2020-06-15
9;true;true;orchestration;EXE Applications global;28182;2020-06-15;2020-06-15;2020-06-15
10;false;false;Movies gold ROI;Producer data-warehouse solid state;23797;2020-06-15;2020-06-15;2020-06-15
