id;cut_off_date;created_date;total_commission_amount;pending_commission_amount;paid_commission_amount;no_of_shipments;notify_user
1;2020-06-15;2020-06-16;83335;62212;13773;52735;false
2;2020-06-15;2020-06-15;39222;74162;19588;73295;false
3;2020-06-16;2020-06-15;57183;84482;37255;80824;true
4;2020-06-15;2020-06-15;515;55224;18713;82303;false
5;2020-06-15;2020-06-15;38419;67001;99660;38049;false
6;2020-06-16;2020-06-15;89440;32489;73354;38290;false
7;2020-06-15;2020-06-15;21833;24063;56560;1165;false
8;2020-06-16;2020-06-15;10837;47129;25035;60562;false
9;2020-06-15;2020-06-15;7974;52467;34558;18923;false
10;2020-06-16;2020-06-15;46671;13222;94202;51933;true
