id;i_d;n_ame;c_ontact;d_efaultfolder
1;40097;calculate;Kuwait;Fresh Handcrafted Island
2;41487;disintermediate plug-and-play envisioneer;Coordinator world-class Adaptive;capacitor hard
3;28839;Internal online;neural vortals;Jewelery Internal
4;9887;quantify;Legacy;Account Concrete
5;11545;Associate Taiwan;Mouse;connect Ergonomic
6;49196;Handmade;Pound;Multi-layered Hryvnia
7;29430;approach;Mountain;haptic
8;464;Division Corporate;payment;Wisconsin neural
9;92265;payment;background magenta;Music leverage Pants
10;34946;sexy Reduced;Nicaragua Executive;JBOD optical
