id;name;enable;created_date;created_by
1;Savings Account;false;2020-05-17;Stravenue
2;Gorgeous Rubber Tuna Parkway;false;2020-05-17;Jewelery
3;Bedfordshire;false;2020-05-18;AGP Avon Brunei Dollar
4;Planner Madagascar;false;2020-05-17;Bedfordshire Sleek Ergonomic Granite Bacon
5;Group AI haptic;true;2020-05-18;Practical payment
6;Guyana Dollar optimize Concrete;false;2020-05-17;Berkshire SMS Planner
7;Chile stable Incredible;true;2020-05-17;Bacon intangible
8;Assistant;true;2020-05-17;Rand Namibia Dollar
9;Lead;true;2020-05-18;UAE Dirham Developer
10;Home Loan Account;true;2020-05-18;Fresh European Unit of Account 9(E.U.A.-9)
