id;template_name;template_type;note;subject;content;is_custom_template;is_order;is_shipment;is_product_purchased;is_amount_paid;is_store_info;is_body_1
1;American Kwanza;Grass-roots Cheese;digital;District Account Vietnam;Pike;true;true;true;true;true;true;true
2;copy Handcrafted cyan;River Shirt Unbranded;Unions;Pound;Cross-group application monetize;false;true;false;false;false;true;false
3;upward-trending;neural Hat;protocol SMTP;Quality Object-based executive;Rubber empowering;true;false;true;false;false;false;false
4;Communications;capacitor compressing;generate of;capacitor;Poland National;true;false;false;true;false;true;true
5;cohesive;content Computer Reactive;foreground green pink;Chair;collaboration gold sensor;false;true;true;true;true;true;true
6;override;invoice digital;SAS Norwegian;Chief Hawaii;black back-end Fantastic;true;true;true;true;false;true;false
7;Market Tennessee;Home;Auto Concrete Computer;Buckinghamshire Security;Egyptian;true;true;false;true;false;true;true
8;Borders withdrawal Rubber;Avon;Markets content;Functionality;SMTP;true;false;true;false;true;false;true
9;embrace syndicate;Architect;paradigms deploy;sensor;Producer Fantastic withdrawal;false;false;true;false;true;true;false
10;withdrawal;Loan Rustic;feed;pixel;Streamlined;false;false;false;true;true;true;false
