id;value;from_lane;to_lane
1;91522;Won;bluetooth Practical HDD
2;43030;functionalities Sausages;Tunnel Credit Card Account
3;83912;invoice payment support;Oregon metrics fault-tolerant
4;48055;Connecticut;Berkshire structure Shoes
5;40553;backing up;Optimization framework
6;82453;clicks-and-mortar communities San Marino;Solutions Liaison navigate
7;61834;Ball;orange panel Zimbabwe Dollar
8;52877;Buckinghamshire Fantastic Credit Card Account;synergistic Customer-focused Ameliorated
9;68486;Directives;Ergonomic Fresh Towels Assurance
10;9828;innovative Practical;toolset
