id;value;from_zip;to_zip
1;4035;e-markets quantifying Ohio;Cambridgeshire
2;24872;Somali Shilling Fantastic Steel Salad Syrian Pound;mission-critical Operations
3;29318;directional;Borders Auto Loan Account
4;83901;Cotton task-force;Refined Global open-source
5;94358;payment;architectures
6;24186;Bike calculating Agent;quantify
7;49881;Minnesota Buckinghamshire protocol;Central Gorgeous Plastic Chicken
8;3615;synthesizing Bosnia and Herzegovina;Paradigm capacitor Factors
9;89170;XSS Internal;wireless help-desk
10;1563;Maryland Personal Loan Account Fantastic;lavender migration Manat
