id;title;length;width;height;weight;dim_unit;wght_unit;goods_value;product_value;hs_codes;sku;policy;insurance_amt;is_insured
1;open-source;72253;24182;42869;70902;Creat;block;69519;74080;RAM Sa;River Persistent Account;Health;68371;true
2;visualize throughput;92386;96269;89850;56010;lime;Salad;60061;48259;Accoun;software Sleek 1080p;Metal Practical auxiliary;58695;true
3;mission-critical;74974;13426;44837;87611;Gorge;yello;20793;28698;Invest;bleeding-edge;Micronesia;95329;false
4;Awesome Dominican;89451;64096;80157;8244;asymm;port ;50406;52360;sensor;channels Industrial;web-enabled sensor challenge;4680;false
5;calculating Customer wireless;99259;84095;47374;33943;payme;olive;19444;8625;deposi;Dinar;function;56880;true
6;Liaison disintermediate;72792;8601;64927;58039;Intel;SQL A;17899;28008;Cape;ROI;Ferry hub;96601;false
7;Steel protocol TCP;25117;31840;29453;53496;Gener;salmo;16504;23168;orches;Automotive;Crest Small;69906;false
8;Borders Fantastic;59783;34935;62977;7814;inter;Creat;44420;4665;lime m;Ball world-class Electronics;payment Mouse parsing;96471;true
9;Handcrafted cyan;89894;75661;67863;23938;Beaut;Maryl;13253;22961;distri;Factors copying HTTP;Investment Leone;34304;true
10;Borders Trail;51895;62245;40821;75479;inter;Healt;63491;33223;online;zero Gloves Field;mobile Sausages;84420;true
