id;markup_type;min_value;domestic_value;intl_value;flat_rate_value;opex_value
1;interactive Auto Loa;15240;50491;23239;67215;99990
2;SQL Table Future;43022;42727;27879;74893;22192
3;red;72972;60550;13011;18065;73407
4;deploy;25225;37353;71459;93855;84438
5;models Balboa US Dol;89562;70302;87830;17809;75022
6;connect visionary;54011;62942;10852;67594;82346
7;Ergonomic;58984;14468;45490;76788;48734
8;leverage;89462;62342;66661;37200;3318
9;Algeria;47090;34028;31774;50124;11686
10;Configuration Yemeni;29945;7989;39968;53982;73081
