id;shipping_mode;signature_reqd;schedule_pickup;live_rates;add_residential;tailgate_at_destination;tailgate_at_source
1;hack adapter;Mauritius Rupee vortals;true;true;true;true;true
2;Direct;FTP Metal Cambridgeshire;false;true;true;false;true
3;withdrawal Coordinat;Fields withdrawal synergies;false;false;false;true;false
4;Synchronised reboot;alarm Innovative View;false;false;false;true;false
5;Investor Creative Sa;tan;true;false;true;true;false
6;interactive;Cotton Generic Wooden Fish;true;true;true;false;false
7;Singapore Dollar;Home Loan Account;false;true;false;false;true
8;Fundamental;Summit bandwidth SSL;false;false;false;true;true
9;24/365 Stravenue Zam;Illinois high-level;false;true;false;false;false
10;Arizona;payment Persistent;true;true;true;true;true
