id;name;contact;default_folder
1;Shirt;payment Chief EXE;Metal Small bottom-line
2;New Optimized CSS;Chicken Latvia Licensed;Global
3;Parkway Hat;Mississippi approach;cyan Real reinvent
4;compressing;Multi-lateral;Orchestrator bypass
5;Legacy blue overriding;cross-media;Lesotho
6;Open-architected Intelligent Connecticut;overriding Franc;interface Indiana Account
7;Proactive;synergistic;Rhode Cross-group
8;methodologies Borders;Fresh transmit support;Progressive Borders
9;teal;IB Canyon;Rustic
10;virtual;Fiji mobile;auxiliary Virgin
