id;hst_number;promo_code;promo_url
1;93545;Refined Kids;reciprocal Keys Generic Cotton Computer
2;96916;real-time Automotive;SQL Mali
3;45707;Buckinghamshire revolutionary;Hong Kong Dollar
4;67339;mission-critical SSL;white National
5;86705;connecting;blue Avon transmitter
6;34964;Refined Fresh Table Peso Uruguayo Uruguay Peso en Unidades Indexadas next generation;compelling
7;24559;Sleek Metal Computers;plug-and-play
8;21710;Games Bedfordshire Rustic;Associate Kentucky XSS
9;39866;Integration Montserrat;input
10;55542;sexy;composite
